OrganisationID;OrganisationCode;OrganisationName;MetricName;Value;Text
39955;R1H12;The Royal London Hospital;30 day survival rate;93.70%;93.70%
39955;R1H12;The Royal London Hospital;Arrival time to theatre;65%;of patients arrived within appropriate time, National average 82%
39955;R1H12;The Royal London Hospital;Data Quality;54%;of applicable cases included
39955;R1H12;The Royal London Hospital;High risk patients transferred to critical care;91%;of high risk patients transferred, National average 87%
39955;R1H12;The Royal London Hospital;Number of cases;68;cases
39955;R1H12;The Royal London Hospital;Risk recorded before surgery;56%;of patients had risk recorded, National average 75%
39955;R1H12;The Royal London Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;74%;of high risk surgeries supervised, National average 83%
39964;R1HKH;Whipps Cross Hospital;30 day survival rate;90.30%;90.30%
39964;R1HKH;Whipps Cross Hospital;Arrival time to theatre;80%;of patients arrived within appropriate time, National average 82%
39964;R1HKH;Whipps Cross Hospital;Data Quality;66%;of applicable cases included
39964;R1HKH;Whipps Cross Hospital;High risk patients transferred to critical care;90%;of high risk patients transferred, National average 87%
39964;R1HKH;Whipps Cross Hospital;Number of cases;86;cases
39964;R1HKH;Whipps Cross Hospital;Risk recorded before surgery;52%;of patients had risk recorded, National average 75%
39964;R1HKH;Whipps Cross Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;93%;of high risk surgeries supervised, National average 83%
39967;R1HNH;Newham Hospital;30 day survival rate;82.30%;82.30%
39967;R1HNH;Newham Hospital;Arrival time to theatre;82%;of patients arrived within appropriate time, National average 82%
39967;R1HNH;Newham Hospital;Data Quality;55%;of applicable cases included
39967;R1HNH;Newham Hospital;High risk patients transferred to critical care;77%;of high risk patients transferred, National average 87%
39967;R1HNH;Newham Hospital;Number of cases;36;cases
39967;R1HNH;Newham Hospital;Risk recorded before surgery;33%;of patients had risk recorded, National average 75%
39967;R1HNH;Newham Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;81%;of high risk surgeries supervised, National average 83%
